FULL REPORT ABOUT ALL PRODUCTS 
1. Product name: PRODUCT; Info: INFO; Manufacturer: MAN; Current quantity: 25; Price: 17.0; Group: GROUP1
27. Product name: DSADSADSADSA; Info: DSADSA; Manufacturer: DASDAS; Current quantity: 20; Price: 7.0; Group: GROUP3
28. Product name: PRODUCT25DS; Info: DSADSA; Manufacturer: DSADA; Current quantity: 2540; Price: 321310.0; Group: GROUP3
29. Product name: DSAD254232; Info: DSDSA; Manufacturer: DSAD; Current quantity: 22220; Price: 22220.0; Group: GROUP3
30. Product name: DSADA123; Info: DSADAS; Manufacturer: DSADSA; Current quantity: 40; Price: 10.0; Group: GROUP3
31. Product name: 2551512; Info: 323; Manufacturer: 321321; Current quantity: 2310; Price: 2320.0; Group: GROUP3
32. Product name: QWEWQE; Info: 2EWQEWQ; Manufacturer: EWQEWQ; Current quantity: 220; Price: 220.0; Group: GROUP3
33. Product name: VBVBVB; Info: DSADSADSADAS; Manufacturer: VBVBV2; Current quantity: 220; Price: 220.0; Group: GROUP3
34. Product name: GHGHGH; Info: DSADSA; Manufacturer: DSADSA; Current quantity: 2220; Price: 2220.0; Group: GROUP3
35. Product name: JOINT; Info: JOINTER; Manufacturer: JOINT; Current quantity: 2130; Price: 2310.0; Group: GROUP3
36. Product name: NEWEEEE; Info: DSADSA; Manufacturer: DSADSAD; Current quantity: 2321; Price: 213120.0; Group: GROUP3
37. Product name: NEWE; Info: DSA; Manufacturer: DSA; Current quantity: 20; Price: 20.0; Group: GROUP3
38. Product name: SWESE; Info: 2; Manufacturer: DSA; Current quantity: 20; Price: 20.0; Group: GROUP3
39. Product name: NEW; Info: DSDS; Manufacturer: DSADA; Current quantity: 220; Price: 220.0; Group: GROUP3
40. Product name: DSEWQRTY; Info: 111; Manufacturer: 14; Current quantity: 10; Price: 10.0; Group: GROUP#2
41. Product name: DSADA145; Info:  ; Manufacturer:  ; Current quantity: 220; Price: 220.0; Group: GROUP3
42. Product name: DSAD213441; Info: DSADSA; Manufacturer: DSADSA; Current quantity: 220; Price: 220.0; Group: GROUP3
43. Product name: SUOPOOER; Info: DSADSA; Manufacturer: 241; Current quantity: 2310; Price: 321310.0; Group: GROUP1
44. Product name: DSADSA2321321; Info: SDADAS; Manufacturer: DSADSADSA; Current quantity: 22220; Price: 220.0; Group: GROUP1
45. Product name: INTEREST; Info: DSADASDSADA; Manufacturer: DSAD; Current quantity: 250; Price: 240.0; Group: GROUP1
46. Product name: NEWDSDSA; Info: 22DSADSA; Manufacturer: DSADA; Current quantity: 220; Price: 220.0; Group: GROUP3
47. Product name: NEWNEWNEWS; Info: DSA; Manufacturer: 231; Current quantity: 20; Price: 20.0; Group: GROUP1
48. Product name: DSADS3321321; Info: DSADSA; Manufacturer: DSADAS; Current quantity: 220; Price: 220.0; Group: GROUP3
49. Product name: TESINGPRODUCT; Info: DSADSAD; Manufacturer: 231; Current quantity: 2320; Price: 2310.0; Group: GROUP1
50. Product name: SDSA22112; Info: S; Manufacturer: DSADSA; Current quantity: 20; Price: 2.0; Group: GROUP#2
Total cost of products: 2.5788062E9
